Câu hỏi,Câu trả lời,Căn cứ,Ngày ban hành,Ngày cập nhật,Đường dẫn căn cứ,Đường dẫn các file cập nhật
Mục tiêu của chương trình giáo dục của trường?,"Điều 2. Mục tiêu của chương trình giáo dục và phương thức đào tạo
1. Mục tiêu chung của chương trình giáo dục đại học của Trường:
 - Đào tạo nhân lực, nâng cao dân trí, bồi dưỡng nhân tài; nghiên cứu khoa học, công nghệ
tạo ra tri thức, sản phẩm mới, phục vụ yêu cầu phát triển kinh tế - xã hội, đảm bảo quốc
phòng, an ninh và hội nhập quốc tế;
- Đào tạo người học có phẩm chất chính trị, đạo đức; có kiến thức chuyên môn toàn diện,
nắm vững nguyên lý, quy luật tự nhiên - xã hội, có kỹ năng thực hành cơ bản, có khả
năng làm việc độc lập, sáng tạo và giải quyết những vấn đề thuộc ngành được đào tạo; có
sức khỏe; có khả năng sáng tạo và trách nhiệm nghề nghiệp, thích nghi với môi trường
làm việc; có ý thức phục vụ nhân dân. Người học hoàn thành chương trình đào tạo đáp
ứng yêu cầu chuẩn đầu ra bậc 6 của Khung trình độ quốc gia Việt Nam và các năng lực
cốt lõi của Bộ phẩm chất và năng lực sinh viên tốt nghiệp ĐHQG-HCM.
2. Mục tiêu cụ thể của chương trình giáo dục đại học được ghi trong bản mô tả của từng
chương trình giáo dục đại học.
3. Phương thức đào tạo của Trường theo học chế tín chỉ, giúp cho sinh viên có thể tích lũy
kiến thức trong mọi thời điểm, đồng thời cũng yêu cầu ở sinh viên tính tích cực, chủ
động trong việc lập kế hoạch học tập cá nhân nhằm tạo nên hiệu quả cao trong học tập và
rèn luyện.","ĐIỀU 2, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Học phần là gì?,"Điều 3. Môn học
1. Học phần (hay môn học) là khối lượng kiến thức tương đối trọn vẹn, thuận tiện cho người học tích lũy trong quá trình học tập, nội dung được bố trí giảng dạy trong một học kỳ. Mỗi học phần được ký hiệu bằng một mã riêng do Trường quy định. Mỗi học phần thực hành, thí nghiệm, kiến tập,… có khối lượng từ 1 – 3 tín chỉ, mỗi học phần lý thuyết hoặc học phần có cả lý thuyết và thực hành có khối lượng từ 1 – 4 tín chỉ. Trường có hai hình thức tổ chức giảng dạy thực hành:
- Thực hành Hình thức 1 (HT1): là hình thức dạy thực hành có sự hướng dẫn của giảng viên cho toàn thời lượng học thực hành.
- Thực hành Hình thức 2 (HT2): là hình thức dạy thực hành có sự hướng dẫn của giảng viên với thời lượng 09 tiết/tín chỉ thực hành, không nhất thiết phải sử dụng phòng thực hành chuyên dụng.","KHOẢN 1, ĐIỀU 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Trường có bao nhiêu hình thức thực hành?,"Điều 3. Môn học
1. Trường có hai hình thức tổ chức giảng dạy thực hành:
- Thực hành Hình thức 1 (HT1): là hình thức dạy thực hành có sự hướng dẫn của giảng viên cho toàn thời lượng học thực hành.
- Thực hành Hình thức 2 (HT2): là hình thức dạy thực hành có sự hướng dẫn của giảng viên với thời lượng 09 tiết/tín chỉ thực hành, không nhất thiết phải sử dụng phòng thực hành chuyên dụng.","KHOẢN 1, ĐIỀU 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Trường có những loại học phần nào?,"Điều 3. Môn học
2. Các loại học phần
- Học phần tích lũy: là học phần mà sinh viên có kết quả tổng kết học phần được từ 5 điểm trở lên.
- Học phần bắt buộc: là học phần bắt buộc sinh viên phải học và tích lũy theo ngành hoặc chuyên ngành đã chọn.
- Học phần tự chọn: là học phần sinh viên có thể đăng ký học hay không tùy theo nguyện vọng.
- Học phần chung (Giáo dục quốc phòng-An ninh, Giáo dục Thể chất, Lý luận chính trị, Ngoại ngữ,…) là các học phần được giảng dạy và học tập chung cho các ngành theo quy định của Bộ GD&ĐT và hướng dẫn của ĐHQG-HCM.
- Học phần tự chọn định hướng: là học phần mà sinh viên phải chọn trong các học phần quy định cho một ngành học cụ thể.
- Học phần tiên quyết: là học phần bắt buộc sinh viên phải học trước và tích lũy mới được học tiếp sang học phần có liên quan khác.
- Học phần học trước: là học phần sinh viên phải học trước khi học các học phần có liên quan khác. Học phần học trước có thể thi đạt hoặc không đạt.
- Học phần song hành: Hai học phần được gọi là song hành khi sinh viên đăng ký học phần này thì bắt buộc phải đăng ký học phần kia.
- Học phần thay thế: là học phần được sử dụng khi một học phần thuộc chương trình giáo dục thay đổi hoặc điều chỉnh, không còn tổ chức giảng dạy. Học phần thay thế có thời lượng tương đương nhưng nội dung có thể khác với học phần không còn tổ chức giảng dạy, do khoa phụ trách chuyên môn quy định.
- Học phần tương đương: là học phần có nội dung kiến thức và thời lượng tương đương với một học phần khác.
- Học phần mới: là học phần sinh viên đăng ký học lần đầu tiên.
- Học phần học lại: là học phần sinh viên đã học nhưng kết quả chưa đạt (điểm nhỏ hơn 5), sinh viên phải đăng ký học lại học phần đó nếu là học phần bắt buộc.
- Học phần học cải thiện: là học phần sinh viên đã học có kết quả đạt (từ 5 điểm trở lên), nhưng muốn đăng ký học lại. Sinh viên chỉ được đăng ký học cải thiện theo quy định tại Khoản 3 Điều 14 của quy chế này.
- Học phần điều kiện: là các học phần sinh viên bắt buộc phải học như giáo dục thể chất, giáo dục quốc phòng - an ninh, có kết quả đánh giá không tính vào điểm trung bình chung học kỳ, điểm trung bình chung tích lũy.
- Học phần tài năng: là các học phần được tổ chức nhằm tăng cường tương tác giữa giảng viên và sinh viên, khuyến khích tư duy phản biện, khả năng sáng tạo, khả năng phát triển và trình bày ý tưởng của sinh viên.
- Học phần tiên tiến: là các học phần được tổ chức dựa trên cơ sở của chương trình đang được áp dụng ở trường đại học tiên tiến trên thế giới đáp ứng mục tiêu của chương trình tiên tiến. ","KHOẢN 2, ĐIỀU 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Tín chỉ học tập là gì?,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
1. Tín chỉ học tập:
- Tín chỉ học tập: là đơn vị dùng để xác định thời gian, khối lượng học tập của sinh
viên và khối lượng giảng dạy của giảng viên, đồng thời là đơn vị dùng để đánh giá
kết quả học tập của sinh viên dựa trên số lượng tín chỉ học tập đã tích lũy được.
- Một tiết học được tính quy chuẩn bằng 50 phút.
- Một tín chỉ học tập được quy định bằng 15 tiết học lý thuyết; 30 tiết thảo luận trên
lớp, thí nghiệm, thực hành tại phòng máy theo phương thức học tập trực tiếp hoặc
trực tuyến hoặc 45 – 60 tiết thực tập, kiến tập, chuẩn bị khoá luận.
- Đối với những học phần lý thuyết hoặc thực hành, thí nghiệm: để tiếp thu được một
tín chỉ sinh viên phải dành ít nhất 30 giờ chuẩn bị cá nhân (tự học) và giảng viên phải
dành ít nhất 30 giờ để soạn giáo án, bài tập tình huống, soạn đề cương chi tiết, chấm
bài tập về nhà, bài thi, giải đáp cho sinh viên hoặc phát triển học phần.
- Một tín chỉ thực tập doanh nghiệp được quy định bằng 4 tuần đi thực tập doanh
nghiệp.
- Số tiết, số tín chỉ, thời gian tự học, thời gian làm việc của giảng viên, cách đánh giá
học phần được quy định cụ thể trong đề cương chi tiết của từng học phần.
- Sau đây tín chỉ học tập được gọi tắt là tín chỉ. ","KHOẢN 1, ĐIỀU 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Tín chỉ học phí là gì?,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
2. Tín chỉ học phí (TCHP): là đơn vị dùng để lượng hóa chi phí của các hoạt động giảng dạy
tính cho từng học phần. Số TCHP của mỗi học phần được xác định căn cứ vào đề cương
và cách thức tổ chức học phần; cụ thể như sau:
- Phần giảng dạy lý thuyết tại lớp: 15 tiết tương đương với 1 TCHP.
- Phần giảng dạy thực hành, thí nghiệm, thảo luận:
o Học phần thực hành HT1 : 1 TCTH tương đương 2 TCHP.
o Học phần thực hành HT2 : 1 TCTH tương đương 1 TCHP.
- Một số học phần đặc biệt được xác định số TCHP riêng theo quyết định của Hiệu
trưởng gồm các loại học phần: Giáo dục quốc phòng - an ninh, Giáo dục thể chất,
Thực tập doanh nghiệp, Khóa luận tốt nghiệp, Môn học đồ án (bao gồm chuyên đề
nghiên cứu khoa học, seminar,…).
- Có 3 loại TCHP:
o TCHP học lại (TCHPHL): là tín chỉ học phí của học phần học lại.
o TCHP học cải thiện (TCHPCT): là tín chỉ học phí của học phần học cải thiện.
o TCHP học mới (TCHPHM): là tín chỉ học phí của học phần mới học lần đầu.
- Đầu năm học, Trường sẽ công bố mức học phí cho mỗi loại TCHP.","KHOẢN 2, ĐIỀU 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Cách tính học phí như thế nào?,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
3. Nguyên tắc xác định học phí
Đối với sinh viên còn trong thời gian học theo thiết kế chương trình đào tạo:
o Đối với học kỳ chính
Học phí = HPHK + HPTCHL × TCHPHL + HPTCCT × TCHPCT
o Đối với học kỳ hè : Học phí = HPTCHM HKHE × TCHPHM + HPTCHL × TCHPHL + HPTCCTTCHPCT
Trong đó :
- Với sinh viên còn trong thời gian học theo thiết kế chương trình đào tạo: HPTCHM HKHE là mức chênh lệch giữa HPTCHM học kỳ hè của khóa tuyển sinh gần nhất và HPTCHM học kỳ chính của từng khóa được quy định trong quy định học phí hiện hành.
- Với sinh viên đã quá thời gian học theo thiết kế chương trình đào tạo: HPTCHM HKHE thực hiện theo quy định học phí hiện hành.
- Đối với sinh viên đã quá thời gian học theo thiết kế chương trình đào tạo:
o Đối với học kỳ chính
Học phí = min(HPHKC, HPGH + HPTCHM × TCHPHM) + HPTCHL × TCHPHL + HPTCCT × TCHPCT
o Đối với học kỳ hè
Học phí = HPTCHM × TCHPHM + HPTCHL × TCHPHL + HPTCCT × TCHPCT
- Trong các công thức trên:
o HPHK: học phí học kỳ, là khoản tiền sinh viên phải đóng khi có đăng ký học
phần mới trong học kỳ chính.
o HPHKC: học phí học kỳ cuối cùng theo thiết kế chương trình đào tạo. (Ví dụ : nếu CTĐT có thời gian thiết kế là 4 năm thì học kỳ cuối cùng là học kỳ thứ 8, nếu CTĐT có thời gian thiết kế là 3,5 năm thì học kỳ cuối cùng là học kỳ thứ 7).
o HPTCHM: mức đơn giá học phí cho loại tín chỉ học phí học mới.
o TCHPHM: tổng số tín chỉ học phí của các môn học mới.
o HPTCHL: mức đơn giá học phí cho loại tín chỉ học phí học lại.
o TCHPHL: tổng số tín chỉ học phí của các môn học lại.
o HPTCCT: mức đơn giá học phí cho loại tín chỉ học phí học cải thiện.
o TCHPCT: tổng số tín chỉ học phí của các môn học cải thiện.
o HPGH : học phí gia hạn, được tính theo công thức sau đây với giá trị t được xác định cụ thể tại các thông báo của Hiệu trưởng: HPGH = t × HPHKC (t < 100%).","KHOẢN 3, ĐIỀU 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,29/12/2023,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FupdatedQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446198647-1393-qd-dhcntt_29-12-2023_cap_nhat_quy_che_dao_tao_theo_hoc_che_tin_chi_cho_he_dai_hoc_chinh_quy.pdf?alt=media
Sinh viên được gia hạn học phí khi nào?,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
3. Nguyên tắc xác định học phí
Gia hạn thời gian nộp học phí: Nếu sinh viên có hoàn cảnh đặc biệt khó khăn không
thể hoàn thành học phí đúng hạn thì phải làm đơn xin gia hạn đóng học phí và nộp
về Phòng Kế hoạch – Tài chính trước thời hạn đóng học phí theo quy định.","KHOẢN 3, ĐIỀU 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
"Nếu sinh viên học cùng lúc hai chương trình đào tạo, học phí phải đóng là?","Điều 4. Tín chỉ học tập - Tín chỉ học phí
3. Nguyên tắc xác định học phí
Đối với sinh viên học cùng lúc hai chương trình đào tạo, học phí cũng được xác định theo quy định tại khoản này. Trường hợp sinh viên đã tốt nghiệp chương trình thứ nhất thì học phí chương trình thứ hai được tính dựa trên số tín chỉ mà sinh viên đăng ký theo công thức: Học phí = Số TC học phí x đơn giá học phí.","KHOẢN 3, ĐIỀU 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Nếu bảo lưu học kỳ thì có cần phải đóng học phí không?,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
3. Nguyên tắc xác định học phí
Sinh viên phải đóng HPHK tương ứng với số học kỳ theo thiết kế chương trình đào tạo. HPHK được áp dụng theo quy định học phí hiện hành của từng năm học tương ứng trong CTĐT. Lưu ý một số trường hợp đặc biệt sau đây (n là số học kỳ theo thiết kế CTĐT ):
+ Nếu được cho phép bảo lưu thì sinh viên không phải đóng HPHK cho học kỳ được
bảo lưu, tuy nhiên sinh viên phải đóng HPHK tới hết học kỳ n + i (trong đó i là tổng số học kỳ sinh viên được bảo lưu).
(Ví dụ : CTĐT có thời gian thiết kế là 7 học kỳ , sinh viên bảo lưu 01 học kỳ thì thời gian sinh viên phải đóng HPHK tới hết học kỳ 8).","KHOẢN 3, ĐIỀU 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
