STT,Loại câu hỏi,Câu hỏi,Câu trả lời,Căn cứ
1,Xử lý học vụ,Không nạp học phí đúng hạn thì bị phạt thế nào?,"Điều 16. Xử lý học vụ
1. Cảnh báo học vụ
Sinh viên bị cảnh báo học vụ nếu vi phạm một trong những trường hợp sau đây:
- Không hoàn thành nghĩa vụ học phí đúng quy định.
- Có ĐTBHK dưới 3,0 hoặc điểm trung bình của liên tiếp 2 học kỳ gần nhất đều dưới 4,0.
Thời hạn cảnh báo học vụ kéo dài trong một học kỳ chính tiếp theo. Sinh viên sẽ được tự động xóa hình thức xử lý khi kết thúc thời hạn.","Khoản 1, Điều 16, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
2,Điều kiện xét tốt nghiệp và công nhận tốt nghiệp,Làm sao để được xét tốt nghiệp,"Điều 33. Điều kiện xét tốt nghiệp và công nhận tốt nghiệp
1. Mỗi năm Trường có 4 đợt xét tốt nghiệp và cấp bằng tốt nghiệp đại học, lịch xét tốt nghiệp được ghi trong kế hoạch năm học. Để được Trường xét cấp bằng tốt nghiệp, sinh viên nộp hồ sơ đề nghị xét tốt nghiệp khi đã đáp ứng đủ các điều kiện sau đây: 
- Cho đến thời điểm xét tốt nghiệp, sinh viên không đang trong thời gian bị truy cứu trách nhiệm hình sự hoặc bị kỷ luật từ mức đình chỉ học tập trở lên. 

- Đã hoàn thành nghĩa vụ học phí. 
- Đã hoàn thành các môn học, tích lũy đủ số tín chỉ theo đúng chương trình đào tạo. 
- Đã hoàn thành các môn học Giáo dục thể chất. 
- Có chứng chỉ Giáo dục quốc phòng-An ninh. 
- Đạt chuẩn ngoại ngữ xét tốt nghiệp. 
- Đạt điểm rèn luyện tích lũy tối thiểu là 50 điểm. 
- Đã hoàn trả sách mượn cho Thư viện","Khoản 1, Điều 33, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
3,Môn học,Các học phần của trường,"Điều 3. Môn học
2. Các loại học phần
- Học phần tích lũy: là học phần mà sinh viên có kết quả tổng kết học phần được từ 5 điểm trở lên. 
- Học phần bắt buộc: là học phần bắt buộc sinh viên phải học và tích lũy theo ngành hoặc chuyên ngành đã chọn. 
- Học phần tự chọn: là học phần sinh viên có thể đăng ký học hay không tùy theo nguyện vọng. 
- Học phần chung (Giáo dục quốc phòng-An ninh, Giáo dục Thể chất, Lý luận chính trị, Ngoại ngữ,…) là các học phần được giảng dạy và học tập chung cho các ngành theo quy định của Bộ GD&ĐT và hướng dẫn của ĐHQG-HCM. 
- Học phần tự chọn định hướng: là học phần mà sinh viên phải chọn trong các học phần quy định cho một ngành học cụ thể. 
- Học phần tiên quyết: là học phần bắt buộc sinh viên phải học trước và tích lũy mới được học tiếp sang học phần có liên quan khác. 
- Học phần học trước: là học phần sinh viên phải học trước khi học các học phần có liên quan khác. Học phần học trước có thể thi đạt hoặc không đạt. 
- Học phần song hành: Hai học phần được gọi là song hành khi sinh viên đăng ký học phần này thì bắt buộc phải đăng ký học phần kia. 
- Học phần thay thế: là học phần được sử dụng khi một học phần thuộc chương trình giáo dục thay đổi hoặc điều chỉnh, không còn tổ chức giảng dạy. Học phần thay thế có thời lượng tương đương nhưng nội dung có thể khác với học phần không còn tổ chức giảng dạy, do khoa phụ trách chuyên môn quy định. 
- Học phần tương đương: là học phần có nội dung kiến thức và thời lượng tương đương với một học phần khác. 
- Học phần mới: là học phần sinh viên đăng ký học lần đầu tiên. 
- Học phần học lại: là học phần sinh viên đã học nhưng kết quả chưa đạt (điểm nhỏ hơn 5), sinh viên phải đăng ký học lại học phần đó nếu là học phần bắt buộc. 
- Học phần học cải thiện: là học phần sinh viên đã học có kết quả đạt (từ 5 điểm trở lên), nhưng muốn đăng ký học lại. Sinh viên chỉ được đăng ký học cải thiện theo quy định tại Khoản 3 Điều 14 của quy chế này. 
- Học phần điều kiện: là các học phần sinh viên bắt buộc phải học như giáo dục thể chất, giáo dục quốc phòng - an ninh, có kết quả đánh giá không tính vào điểm trung bình chung học kỳ, điểm trung bình chung tích lũy. 
- Học phần tài năng: là các học phần được tổ chức nhằm tăng cường tương tác giữa giảng viên và sinh viên, khuyến khích tư duy phản biện, khả năng sáng tạo, khả năng phát triển và trình bày ý tưởng của sinh viên.
- Học phần tiên tiến: là các học phần được tổ chức dựa trên cơ sở của chương trình đang được áp dụng ở trường đại học tiên tiến trên thế giới đáp ứng mục tiêu của chương trình tiên tiến.
","Khoản 2, Điều 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN "
,Tín chỉ học tập - Tín chỉ học phí,Tín chỉ học tập là gì,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
1. Tín chỉ học tập:
- Tín chỉ học tập: là đơn vị dùng để xác định thời gian, khối lượng học tập của sinh
viên và khối lượng giảng dạy của giảng viên, đồng thời là đơn vị dùng để đánh giá
kết quả học tập của sinh viên dựa trên số lượng tín chỉ học tập đã tích lũy được.
- Một tiết học được tính quy chuẩn bằng 50 phút.
- Một tín chỉ học tập được quy định bằng 15 tiết học lý thuyết; 30 tiết thảo luận trên
lớp, thí nghiệm, thực hành tại phòng máy theo phương thức học tập trực tiếp hoặc
trực tuyến hoặc 45 – 60 tiết thực tập, kiến tập, chuẩn bị khoá luận.
- Đối với những học phần lý thuyết hoặc thực hành, thí nghiệm: để tiếp thu được một
tín chỉ sinh viên phải dành ít nhất 30 giờ chuẩn bị cá nhân (tự học) và giảng viên phải
dành ít nhất 30 giờ để soạn giáo án, bài tập tình huống, soạn đề cương chi tiết, chấm
bài tập về nhà, bài thi, giải đáp cho sinh viên hoặc phát triển học phần.
- Một tín chỉ thực tập doanh nghiệp được quy định bằng 4 tuần đi thực tập doanh
nghiệp.
- Số tiết, số tín chỉ, thời gian tự học, thời gian làm việc của giảng viên, cách đánh giá
học phần được quy định cụ thể trong đề cương chi tiết của từng học phần.
- Sau đây tín chỉ học tập được gọi tắt là tín chỉ. ","Khoản 1, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
,Tín chỉ học tập - Tín chỉ học phí,Tín chỉ học phí là gì,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
2. Tín chỉ học phí (TCHP): là đơn vị dùng để lượng hóa chi phí của các hoạt động giảng dạy
tính cho từng học phần. Số TCHP của mỗi học phần được xác định căn cứ vào đề cương
và cách thức tổ chức học phần; cụ thể như sau:
- Phần giảng dạy lý thuyết tại lớp: 15 tiết tương đương với 1 TCHP.
- Phần giảng dạy thực hành, thí nghiệm, thảo luận:
o Học phần thực hành HT1 : 1 TCTH tương đương 2 TCHP.
o Học phần thực hành HT2 : 1 TCTH tương đương 1 TCHP.
- Một số học phần đặc biệt được xác định số TCHP riêng theo quyết định của Hiệu
trưởng gồm các loại học phần: Giáo dục quốc phòng - an ninh, Giáo dục thể chất,
Thực tập doanh nghiệp, Khóa luận tốt nghiệp, Môn học đồ án (bao gồm chuyên đề
nghiên cứu khoa học, seminar,…).
- Có 3 loại TCHP:
o TCHP học lại (TCHPHL): là tín chỉ học phí của học phần học lại.
o TCHP học cải thiện (TCHPCT): là tín chỉ học phí của học phần học cải thiện.
o TCHP học mới (TCHPHM): là tín chỉ học phí của học phần mới học lần đầu.
- Đầu năm học, Trường sẽ công bố mức học phí cho mỗi loại TCHP.","Khoản 2, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
4,Tín chỉ học tập - Tín chỉ học phí,Cách tính học phí,"Điều 4. Tín chỉ học tập - Tín chỉ học phí
3. Nguyên tắc xác định học phí
- Đối với sinh viên còn trong thời gian học theo thiết kế chương trình đào tạo:
o Đối với học kỳ chính:
Học phí = HPHK + HPTCHL × TCHPHL + HPTCCT × TCHPCT
o Đối với học kỳ hè:
Học phí = HPTCHM × TCHPHM + HPTCHL × TCHPHL + HPTCCT × TCHPCT
- Đối với sinh viên đã quá thời gian học theo thiết kế chương trình đào tạo:
o Đối với học kỳ chính:
Học phí = min(HPHKC, HPGH + HPTCHM × TCHPHM) + HPTCHL × TCHPHL + HPTCCT × TCHPCT
o Đối với học kỳ hè:
Học phí = HPTCHM × TCHPHM + HPTCHL × TCHPHL + HPTCCT × TCHPCT
- Trong các công thức trên:
o HPHK: học phí học kỳ, là khoản tiền sinh viên phải đóng khi có đăng ký học
phần mới trong học kỳ chính.
o HPHKC: học phí học kỳ cuối cùng theo thiết kế chương trình đào tạo. (Ví dụ :
nếu CTĐT có thời gian thiết kế là 4 năm thì học kỳ cuối cùng là học kỳ thứ 8, nếu
CTĐT có thời gian thiết kế là 3,5 năm thì học kỳ cuối cùng là học kỳ thứ 7).
o HPTCHM: mức đơn giá học phí cho loại tín chỉ học phí học mới.
o TCHPHM: tổng số tín chỉ học phí của các môn học mới.
o HPTCHL: mức đơn giá học phí cho loại tín chỉ học phí học lại.
o TCHPHL: tổng số tín chỉ học phí của các môn học lại.
o HPTCCT: mức đơn giá học phí cho loại tín chỉ học phí học cải thiện.
o TCHPCT: tổng số tín chỉ học phí của các môn học cải thiện.
o HPGH : học phí gia hạn, được tính theo công thức sau đây với giá trị t được xác
định cụ thể tại các thông báo của Hiệu trưởng :
HPGH = t × HPHKC (t < 100%).","Khoản 3, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
5,"Học kỳ, năm học","Thời gian học kỳ chính, học kì hè là bao lâu","Điều 5. Học kỳ, năm học
1. Học kỳ là thời gian để sinh viên hoàn thành một số học phần của chương trình đào tạo.
Một học kỳ chính có 15 tuần thực học và 2 đến 3 tuần dành cho đánh giá hoạt động đào
tạo (thi cuối kỳ, thi giữa kỳ, kiểm tra,…). Một học kỳ hè có tối thiểu 5 tuần thực học và 1
tuần thi. Căn cứ vào tình hình thực tế mỗi năm, kế hoạch giảng dạy của học kỳ có thể
được điều chỉnh theo quyết định của Hiệu trưởng","Khoản 1, Điều 5, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
6,Đăng ký học tập,"Số tín chỉ tối thiểu, tối đa được đăng ký trong một học kỳ là bao nhiêu","Điều 14. Đăng ký học tập
1. Số tín chỉ tối thiểu, tối đa
Số tín chỉ tối thiểu, tối đa được tính bao gồm số các tín chỉ đăng ký tại Trường hoặc
CSĐT khác.
a) Trong học kỳ chính:
- Số tín chỉ đăng ký học n trong mỗi học kỳ chính (bao gồm học lại, cải thiện và học
mới) thỏa điều kiện 14 ≤ n ≤ 24. Sinh viên có ĐTBC ≥ 8,0 đến thời điểm đăng ký,
được phép đăng ký tối đa 30 tín chỉ.
- Đối với những sinh viên còn phải học ít hơn 14 tín chỉ theo chương trình đào tạo của
ngành, khóa học tương ứng thì không áp dụng quy định số tín chỉ tối thiểu.
- Sinh viên không ĐKHP hoặc bị hủy ĐKHP thì xem như số tín chỉ học trong học kỳ
đó bằng 0.
b) Trong học kỳ hè:
- Tổng số tín chỉ đăng ký không được vượt quá 12 tín chỉ.
- Sinh viên chỉ được đăng ký học lại, cải thiện điểm, các môn học ngoại ngữ và học
phần Thực tập doanh nghiệp.
- Việc đăng ký các học phần mới (ngoại trừ Thực tập doanh nghiệp và các môn ngoại
ngữ) trong học kỳ hè (học vượt) chỉ dành cho các sinh viên có ĐTBC ≥ 7,0 đến thời
điểm đăng ký.
Trong trường hợp đặc biệt sinh viên muốn đăng ký vượt quá số tín chỉ tối đa hoặc ít hơn
số tín chỉ tối thiểu phải được sự đồng ý của Hiệu trưởng.","Khoản 1, Điều 14, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
7,Tổ chức lớp,Điều kiện mở lớp là gì,"Điều 12. Tổ chức lớp
1. Lớp học phần: Những sinh viên theo học cùng một học phần trong cùng một khoảng thời
gian và cùng một giảng viên tạo thành một lớp học phần. Mỗi lớp học phần được ký hiệu
bằng một mã số riêng do Trường quy định. Lớp học phần sẽ được mở nếu số lượng sinh
viên đăng ký:
- Tối thiểu là 50 sinh viên đối với các môn học đại cương và các môn học cơ sở nhóm
ngành.
- Các môn học chuyên ngành bắt buộc và chuyên đề tốt nghiệp tối thiểu là 20 sinh
viên.
- Các môn học ngoại ngữ nằm trong chương trình đào tạo cho sinh viên chính quy
được mở với số lượng tối thiểu là 20 sinh viên.
- Các học phần như Thực tập doanh nghiệp, Khóa luận tốt nghiệp, môn học đồ án
được mở không hạn chế số lượng.
- Các môn học còn lại tối thiểu là 30 sinh viên. Trong trường hợp đặc biệt, theo đề
nghị của sinh viên, khoa/bộ môn quản lý ngành đào tạo thì P.ĐTĐH có thể mở lớp và
thực hiện theo quy định Trường.","Khoản 1, Điều 12, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
8,Khoá học,Sinh viên được kéo dài thời gian học tối đa bao lâu,"Điều 6. Khoá học
1. Khóa học là thời gian thiết kế để sinh viên hoàn thành chương trình giáo dục của một
ngành chuyên môn ở trình độ đại học.
a) Đào tạo trình độ đại học được thực hiện từ 3 đến 5 năm đối với văn bằng 1; từ 2 năm
đến 3 năm học đối với văn bằng 2; từ 1,5 năm đến 2,5 năm học đối với liên thông.
b) Thời gian đào tạo văn bằng 1, liên thông, văn bằng 2 được xác định trên cơ sở học
phần và khối lượng tích lũy quy định cho từng chương trình;
2. Tùy theo khả năng học tập, sinh viên được kéo dài thời gian học tối đa 04 học kỳ chính.","Khoản 1, 2, Điều 6, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
